Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum,Testis,Urinary Bladder
ENSG00000011258,11,13,16,12,17,4,10,8,17,30,3,20,18,18,73,19
ENSG00000011260,40,41,31,36,37,6,25,18,36,53,6,58,39,31,124,42
ENSG00000011275,18,28,13,27,29,18,12,4,27,44,5,26,28,16,69,31
ENSG00000011295,40,53,36,23,28,14,31,15,35,26,7,28,38,41,16,30
ENSG00000011304,62,22,73,70,87,13,51,35,97,97,18,146,85,50,68,77
ENSG00000011332,0.3,18,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0.2,0.1,0.1,2,0.2
ENSG00000011347,8,127,6,3,3,11,5,21,3,3,5,63,140,10,8,1
ENSG00000011376,18,23,19,13,15,9,21,11,12,17,2,17,18,23,15,21
ENSG00000011405,39,41,32,38,66,13,43,18,45,40,6,60,49,32,62,43
ENSG00000011422,6,2,13,4,60,2,2,13,34,5,2,18,6,14,2,32
ENSG00000011426,1,151,9,20,4,0.8,0.5,1,3,3,0.1,24,2,12,35,11
ENSG00000011451,12,16,10,12,13,6,10,2,15,23,4,15,20,5,42,14
ENSG00000011454,24,56,26,46,40,17,21,8,36,44,4,36,51,29,49,43
ENSG00000011465,444,29,243,270,1091,239,87,88,436,1269,18,729,208,214,133,688
ENSG00000011478,10,8,10,6,7,2,4,5,11,13,2,12,19,9,9,10
ENSG00000011485,20,31,18,19,22,19,15,8,24,22,3,20,23,18,18,19
ENSG00000011523,12,43,13,20,30,12,9,2,20,53,3,20,22,12,18,24
ENSG00000011566,33,38,21,21,44,16,29,12,32,49,4,51,40,25,52,38
